corrida,RED,CTD,CTD_horas,2GD,CONF,elapsed_s,summary_file
1,0.0497921592987201,3160.276457084022,0.8778545714122282,0.1255908944656115,0.8933378500451672,195.9,metrics_summary_20260804_103554.csv
2,0.0574680206965621,3136.7822089812985,0.8713283913836941,0.1392461317759411,0.8947831978319783,178.6,metrics_summary_20260804_103849.csv
3,0.0321097831825158,2250.982365094863,0.6252728791930174,0.1454685065084865,0.8818879855465221,162.6,metrics_summary_20260804_104137.csv
4,0.052638258768066,2587.0237878238067,0.7186177188399464,0.1282437922355014,0.8869467028003614,155.8,metrics_summary_20260804_104416.csv
5,0.1141689632109807,4280.13590227165,1.1889266395199027,0.1409387735894517,0.8850948509485095,152.4,metrics_summary_20260804_104650.csv
6,0.0393064860597158,2312.20035043453,0.6422778751207028,0.1329132420017947,0.9005645889792232,163.4,metrics_summary_20260804_104924.csv
7,0.022124433228409,2471.579957504927,0.6865499881958131,0.1280085350458271,0.8985320686540199,161.9,metrics_summary_20260804_105214.csv
8,0.0390282150567799,2152.5230528093543,0.5979230702248206,0.1295486111559023,0.9043812104787716,159.8,metrics_summary_20260804_105453.csv
9,0.0650755704890818,2485.639599258525,0.6904554442384792,0.1333336361701907,0.8868112014453479,157.7,metrics_summary_20260804_105732.csv
10,0.0805302286932746,2244.5487503910394,0.623485763997511,0.1457366890375951,0.888843721770551,154.5,metrics_summary_20260804_110005.csv
